time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-22 00:28:22.160,26.3163,140.6831,396.46,4.2,mb,,90,1.551,0.87,us,us20005kpx,2016-04-22 01:26:23.319,"174km WSW of Chichi-shima, Japan",earthquake,12.2,7.7,0.069,58,reviewed,us,us
2016-04-21 22:55:01.390,19.8456667,-155.5625,23.546,3.05,ml,25,112,0.0901,0.12,hv,hv61237451,2016-04-21 23:52:25.618,"22km SSE of Waimea, Hawaii",earthquake,0.56,0.92,0.225,10,reviewed,hv,hv
2016-04-21 22:28:04.870,51.5949,-178.0854,11.11,3.9,mb,,315,0.634,0.89,us,us20005kp6,2016-04-21 23:26:18.737,"32km S of  anaga Volcano, Alaska",earthquake,11.2,9.1,0.073,50,reviewed,us,us
2016-04-21 21:16:53.810,51.493,155.0504,255.88,4.3,mb,,101,2.293,0.6,us,us20005knh,2016-04-21 21:38:08.720,"101km W of Ozernovskiy, Russia",earthquake,11.3,8.8,0.064,68,reviewed,us,us
2016-04-21 20:27:51.730,46.7136,150.5646,192.81,4.2,mb,,173,5.361,0.66,us,us20005kmp,2016-04-21 21:55:37.723,"265km NE of Kuril'sk, Russia",earthquake,11.4,9.7,0.072,54,reviewed,us,us
2016-04-21 19:43:38.970,36.5228,-98.6881,4.35,2.7,mb_lg,,55,0.041,0.33,us,us20005kla,2016-04-21 20:07:34.040,"31km S of Alva, Oklahoma",earthquake,0.7,2.5,0.142,13,reviewed,us,us
2016-04-21 18:53:02.350,-14.5507,166.3773,10,5.1,mb,,92,1.196,0.76,us,us20005kk9,2016-04-21 20:21:49.966,"91km NW of Port-Olry, Vanuatu",earthquake,8.7,1.8,0.058,97,reviewed,us,us
2016-04-21 18:32:43.020,36.5456,-98.6721,7.73,3.6,mb_lg,,55,0.051,0.41,us,us20005kji,2016-04-21 20:33:55.545,"28km S of Alva, Oklahoma",earthquake,2.9,4.8,0.053,92,reviewed,us,us
2016-04-21 18:14:22.860,32.8245,-115.5961667,15.8,3.39,ml,79,52,0.06179,0.29,ci,ci37335119,2016-04-22 22:13:06.417,"4km SW of Imperial, CA",earthquake,0.21,0.32,0.14,271,reviewed,ci,ci
2016-04-21 18:11:04.000,65.9898,-148.2307,7.3,2.5,ml,,,,1.09,ak,ak13489928,2016-04-21 18:57:24.319,"127km N of College, Alaska",earthquake,0.6,0.3,,,automatic,ak,ak
2016-04-21 18:07:43.430,-22.3423,-67.4533,159.9,4.9,mb,,26,1.374,0.96,us,us20005kj2,2016-04-21 21:33:31.706,"101km NE of San Pedro de Atacama, Chile",earthquake,7.3,6.5,0.032,316,reviewed,us,us
2016-04-21 18:04:34.700,18.7082,-65.2942,74,2.5,Md,5,255.6,0.39885199,0.12,pr,pr16112004,2016-04-21 21:02:02.040,"44km N of Culebra, Puerto Rico",earthquake,3.2,2.3,0,5,reviewed,pr,pr
2016-04-21 17:57:52.000,57.4032,-154.0426,43.8,2.7,ml,,,,0.74,ak,ak13489922,2016-04-21 18:57:12.226,"15km SSW of Larsen Bay, Alaska",earthquake,0.5,1.6,,,automatic,ak,ak
2016-04-21 17:41:44.480,40.8566667,-124.8213333,23.27,3.1,ml,67,242,0.4728,0.16,nc,nc72625485,2016-04-23 00:06:03.646,"54km W of Bayview, California",earthquake,1,4.49,0.209,13,reviewed,nc,nc
2016-04-21 15:39:52.000,59.7588,-153.1824,100.9,2.8,ml,,,,0.63,ak,ak13489745,2016-04-22 13:56:55.040,"75km W of Anchor Point, Alaska",earthquake,0.8,0.6,,,automatic,ak,ak
2016-04-21 14:28:14.100,-3.7285,142.7483,59.22,5.3,mb,,44,4.906,1.37,us,us20005khc,2016-04-21 14:43:46.379,"57km N of Ambunti, Papua New Guinea",earthquake,9.2,8.2,0.092,39,reviewed,us,us
2016-04-21 13:53:42.060,-0.3353,-80.523,10,4.2,mb,,159,2.051,0.83,us,us20005kh1,2016-04-21 15:27:30.347,"31km NNW of Bahia de Caraquez, Ecuador",earthquake,5.3,2,0.175,9,reviewed,us,us
2016-04-21 13:33:49.520,12.6577,-89.1655,45.34,4.4,mb,,197,1.025,0.97,us,us20005kgt,2016-04-21 15:50:27.634,"93km S of La Libertad, El Salvador",earthquake,5.6,16.1,0.162,11,reviewed,us,us
2016-04-21 13:11:39.400,18.9281,-64.2918,24,3,Md,5,313.2,0.84890794,0.3,pr,pr16112003,2016-04-21 17:30:59.693,"66km NNE of Road  own, British Virgin Islands",earthquake,3.6,23.2,0,4,reviewed,pr,pr
2016-04-21 13:02:04.100,18.7975,-67.1498,30,2.8,Md,9,252,0.32968171,0.34,pr,pr16112001,2016-04-21 13:20:24.040,"34km N of San Antonio, Puerto Rico",earthquake,1.5,3.9,0,9,reviewed,pr,pr
2016-04-21 12:31:16.490,-0.1661,-80.2336,10,4.4,mb,,90,1.741,1.17,us,us20005kg9,2016-04-21 12:56:33.880,"34km SW of Pedernales, Ecuador",earthquake,7,1.9,0.112,23,reviewed,us,us
2016-04-21 12:21:41.280,13.0957,50.8478,10,4.5,mb,,55,3.115,0.58,us,us20005kg7,2016-04-21 13:11:06.249,"137km N of Bereeda, Somalia",earthquake,6.7,1.9,0.093,34,reviewed,us,us
2016-04-21 11:22:38.300,36.4589,-96.8842,7.65,2.8,mb_lg,,68,0.32,0.35,us,us20005kfv,2016-04-21 12:10:54.015,"15km NNW of Pawnee, Oklahoma",earthquake,1.3,4.3,0.095,29,reviewed,us,us
2016-04-21 11:12:42.000,63.0464,-150.9309,123.5,3.4,ml,,,,0.53,ak,ak13489393,2016-04-21 12:00:25.383,"90km NNW of  alkeetna, Alaska",earthquake,0.2,0.5,,,automatic,ak,ak
2016-04-21 10:51:09.420,35.7551,-97.3554,5,2.5,mb_lg,,42,0.09,0.84,us,us20005kfn,2016-04-21 11:00:19.644,"15km NE of Edmond, Oklahoma",earthquake,0.8,1.9,0.102,25,reviewed,us,us
2016-04-21 10:14:00.000,63.0385,-151.5588,11.3,4.2,ml,,,,0.63,ak,ak13489226,2016-04-21 15:22:18.040,"107km NW of  alkeetna, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-04-21 10:01:59.000,63.0357,-151.5778,10.6,3.8,ml,,,,0.64,ak,ak13489210,2016-04-21 15:25:32.040,"108km NW of  alkeetna, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-04-21 07:50:58.000,60.3926,-156.0814,13.7,3.3,ml,,,,0.89,ak,ak13489200,2016-04-21 08:15:26.600,"96km NW of Old Iliamna, Alaska",earthquake,0.4,0.2,,,automatic,ak,ak
2016-04-21 07:00:56.800,36.1007,-96.7347,6.33,3,mb_lg,,47,0.073,0.66,us,us20005kdj,2016-04-21 07:58:01.940,"3km WSW of Yale, Oklahoma",earthquake,1.5,6.6,0.061,70,reviewed,us,us
2016-04-21 06:48:52.540,-23.0645,-66.2593,234.35,4.4,mb,,41,2.487,1,us,us20005kdd,2016-04-21 07:25:03.561,"60km WNW of El Aguilar, Argentina",earthquake,7.4,9.7,0.155,12,reviewed,us,us
2016-04-21 05:55:41.970,36.5287,-99.0562,5,2.6,mb_lg,,231,0.145,0.43,us,us20005kd7,2016-04-21 06:12:19.746,"16km NE of Mooreland, Oklahoma",earthquake,1.9,1.9,0.1,26,reviewed,us,us
2016-04-21 02:43:36.600,18.3167,-67.6735,25,2.8,Md,7,313.2,0.55426053,0.72,pr,pr16112000,2016-04-21 04:00:14.198,"44km W of Rincon, Puerto Rico",earthquake,5.5,31.6,0,7,reviewed,pr,pr
2016-04-21 01:28:05.030,34.3626667,-118.645,8.79,2.58,ml,74,23,0.03165,0.23,ci,ci37552048,2016-04-21 13:53:36.712,"12km SSW of Valencia, CA",earthquake,0.17,0.43,0.135,123,reviewed,ci,ci
2016-04-21 00:28:39.880,36.4654,-98.8398,2.53,2.5,mb_lg,,100,0.062,0.25,us,us20005kbe,2016-04-21 01:07:34.016,"32km E of Mooreland, Oklahoma",earthquake,2.1,4.1,0.147,12,reviewed,us,us
2016-04-20 23:22:39.540,36.4498,-98.7565,1.69,2.5,mb_lg,,52,0.018,0.35,us,us20005kay,2016-04-21 00:28:48.510,"31km NW of Fairview, Oklahoma",earthquake,3.5,4.5,0.117,19,reviewed,us,us
2016-04-20 22:43:52.970,-18.0666,-179.4036,616.43,4.4,mb,,103,2.443,0.69,us,us20005kar,2016-04-20 23:02:22.115,"223km SE of Lambasa, Fiji",earthquake,8.7,7.8,0.06,80,reviewed,us,us
2016-04-20 22:31:32.320,-0.4688,-80.7967,28.57,4.7,mb,,101,2.251,0.93,us,us20005kaq,2016-04-20 22:49:58.345,"44km WNW of Bahia de Caraquez, Ecuador",earthquake,6.6,5.6,0.047,139,reviewed,us,us
